[ 0.00356321  0.65123531 -0.01510492]
[ 0.00234849  0.63147007 -0.03273995]
[-0.00303034  0.57136899 -0.04050568]
[-0.00306181  0.62782993 -0.03239859]
[-0.00266847  0.63013256 -0.04583086]
[ 0.00751044  0.61946838 -0.01975028]
[ 0.01504751  0.57776531 -0.01480666]
[ 0.00640904  0.61527882 -0.01981669]
[-0.00149541  0.54299746 -0.05082144]
[-3.13157797 -0.21416076  3.09544758]
[ 0.0115035   0.28056003 -0.03817022]
[ 0.00200154  0.25338035 -0.04296024]
[ 0.00197294  0.26224015 -0.04446958]
[ 0.00607203  0.25558406 -0.02901182]
[ 0.00313526  0.24445113 -0.03827702]
[ 0.00219508  0.24452886 -0.02986159]
[ 0.00293946  0.22222308 -0.03775513]
[ 0.00062639  0.28267939 -0.04866149]
[ 0.00221437  0.11630575 -0.02987848]
[ 0.01079506  0.22242491 -0.00303744]
[ 0.00751879  0.23936933 -0.01896312]
[-0.00141323  0.26470281 -0.05978785]
[ 0.00732014  0.25047774 -0.02467512]
[ 0.00463733  0.18719515 -0.02976855]
[ 0.00772952  0.12856956 -0.01322045]
[ 0.00261847  0.10377761 -0.02060381]
[ 0.00573961  0.23023727 -0.02404319]
[ 0.00566147  0.07999154 -0.02254007]
[ 0.00854329  0.18767105 -0.01987516]
[ 0.00612974  0.10928636 -0.01876228]
[-0.00098132  0.09395075 -0.04511524]
[ 0.00301853  0.2336095  -0.0390774 ]
[ 0.01047571  0.20654468 -0.01337047]
[ 0.01274707  0.2177426  -0.00170972]
[ 0.00261582  0.07031778 -0.02467648]
[ 0.00513642  0.07555684 -0.02143775]
[ 0.00753927  0.20262309 -0.01741556]
[ 0.00389018  0.21093476 -0.0305462 ]
[ 0.00645303  0.25334016 -0.03120508]
[ 0.00348854  0.07373459 -0.02335011]
[ 0.00539157  0.18958783 -0.02550606]
[ 0.00673271  0.24931584 -0.02513476]
[ 0.00816946  0.23396264 -0.02306123]
[ 0.00686611  0.22074353 -0.01619518]
[ 0.00329539  0.15208718 -0.03042852]
[ 0.00888964  0.2037862  -0.02468942]
[ 0.0080049   0.22292922 -0.01631477]
[-0.00055112  0.12301353 -0.02211143]
[0.0169526  0.26824798 0.00298765]
[-0.00478795  0.21958729 -0.03470686]
[ 0.00707559  0.36410416 -0.01383336]
[ 0.00124383  0.33737695 -0.02198598]
[ 0.00128527  0.37496049 -0.03526494]
[ 0.00197261  0.34660733 -0.03435228]
[-0.00162399  0.34351311 -0.04374107]
[ 0.00662091  0.38673702 -0.02058555]
[ 0.00233712  0.36800127 -0.02069997]
[ 0.00044168  0.27217352 -0.03335646]
[-0.00258341  0.3492453  -0.04440646]
[ 0.00747382  0.38699906 -0.01453253]
[ 0.00103222  0.40928206 -0.02610743]
[ 0.00363938  0.39458043 -0.02813673]
[-0.00505483  0.36235301 -0.05677408]
[ 0.00509694  0.25714512 -0.0108213 ]
[ 0.00176657  0.32501303 -0.03479788]
[-0.00428852  0.41215038 -0.03735935]
[ 0.00085352  0.22308037 -0.03109102]
[ 0.00553281  0.32854951 -0.02098162]
[ 6.17589926e-05  3.51810365e-01 -3.34589863e-02]
[ 0.00223153  0.29919072 -0.02650351]
[-0.00565876  0.38981736 -0.05081565]
[-0.00487603  0.38848549 -0.04482857]
[-0.00259432  0.33512521 -0.03894636]
[ 0.00529289  0.34102093 -0.02183275]
[-0.00462543  0.24059144 -0.03918361]
[ 0.00261129  0.24666807 -0.02963623]
[-0.0041318   0.34594779 -0.03809966]
[ 0.00914533  0.41355086 -0.00899287]
[-0.00267162  0.32122132 -0.03459204]
[-0.00432961  0.33187288 -0.0446497 ]
[ 0.00170352  0.3708179  -0.0267198 ]
[ 0.01071411  0.38034062 -0.00046768]
[-0.00275961  0.36808175 -0.03544645]
[-0.00623154  0.33945342 -0.05284313]
[0.00783409 0.38233238 0.00199353]
[-0.00103583  0.34032798 -0.02762535]
[0.0123665  0.36253044 0.00072798]
[-0.00066248  0.35091076 -0.03438028]
[ 0.00297542  0.39463153 -0.02789881]
[ 0.00134487  0.40089961 -0.03160745]
[ 0.00554528  0.33872763 -0.01597517]
[-3.47246474e-04  3.79612706e-01 -3.99311841e-02]
[ 0.00321463  0.35828117 -0.03035596]
[-0.00117866  0.21881734 -0.03420841]
[-0.00154645  0.37087427 -0.03426645]
[ 0.00604466  0.22590839 -0.01574093]
[-0.00203538  0.36452064 -0.04349218]
[ 0.00605182  0.34390955 -0.01581681]
[ 0.00196671  0.36955733 -0.02406637]
[-0.00101133  0.33679666 -0.0318159 ]
[ 0.00282294  0.37766564 -0.03023478]
[-0.00224133  0.34271696 -0.03405751]
[-0.00424025  0.32071515 -0.03715236]
[ 0.00151482  0.41255625 -0.04156114]
[ 0.06800146 -0.30658754 -0.00982757]
